 Effectiveness, Flexibility, Procrastination, Tuition_Fees,Extracurricular_Activities,Vision_Affected,Device_Availability,Internet_Access,Teachers_co-operation,Class_Particiption,University_Offering_Resources,Hardware_Courses,Economic_Condition,Dependency_on_private_tuition, Lab_Courses ,Cheating_In_Exam,Internet_Connection,Paper_Submission_Issues,Session_Jam,Grading_Policy
Agree,Agree,No,No,Yes,No,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Agree,Agree,No,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Failing to take graduation,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Grading system is strict as like offline exam
Disagree,Agree,Maybe,No,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,No,No,Maybe,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Good,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,No,Yes,Yes,It is difficult because of poor internet connection,Moderately helpful,Always,Moderately helpful,Not a good decision,Average,Poor,Failing to take graduation,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,No,No,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Moderately helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,No,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Agree,Agree,Yes,No,Yes,No,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Very helpful,Not always,Moderately helpful,Not a good decision,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,Yes,Maybe,Yes,Maybe,Yes,Easy to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Strict grading policy
Agree,Agree,Yes,Yes,Yes,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Maybe,Yes,Yes,Maybe,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Always,Moderately helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Agree,Yes,Yes,Yes,No,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Agree,Agree,Yes,No,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Disagree,Yes,Yes,No,Yes,Yes,Easy to connect,Very helpful,Always,Extremely helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,Yes,No,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,No,Yes,Yes,Maybe,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Grading system is strict as like offline exam
Agree,Agree,No,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Moderately helpful,Not always,Not at all helpful,Good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Neutral,Neutral,Maybe,Yes,No,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Average,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Grading system is strict as like offline exam
Neutral,Agree,Yes,No,No,Maybe,Yes,Sometime it is difficult to connect,Very helpful,Not always,Slightly helpful,Not a good decision,Average,Average,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Strict grading policy
Neutral,Neutral,No,No,Yes,Maybe,Yes,Easy to connect,Extremely helpful,Not always,Not at all helpful,Good decision but need to change few things,Average,Average,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Session jam,Strict grading policy
Neutral,Agree,Yes,No,Yes,Yes,Yes,It is difficult because of poor internet connection,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Session jam,Strict grading policy
Disagree,Neutral,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Average,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Session jam,Strict grading policy
Agree,Agree,Yes,Yes,No,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Disagree,Agree,Yes,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,No,Yes,Yes,Sometime it is difficult to connect,Very helpful,Always,Moderately helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Neutral,Agree,Maybe,No,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not at all,Not at all helpful,Not a good decision,Average,Poor,Unable to meet course requirements for further courses,Yes,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Yes,No,Maybe,Maybe,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Slightly helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Disagree,Yes,No,No,Yes,Yes,Easy to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,Yes,No,No,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Moderately helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Yes,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,No,Yes,Yes,Maybe,Yes,Easy to connect,Moderately helpful,Not always,Very helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Maybe,Yes,Yes,No,Yes,It is difficult because of poor internet connection,Moderately helpful,Not always,Moderately helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Always,Not at all helpful,Good decision but need to change few things,Average,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Neutral,Disagree,Yes,No,Yes,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Agree,Maybe,No,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,No,Maybe,Yes,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,No,No,Maybe,No,Yes,Easy to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Disagree,Disagree,Yes,Yes,Maybe,Yes,Yes,Easy to connect,Moderately helpful,Always,Moderately helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Disagree,Disagree,Maybe,Yes,No,No,Yes,Easy to connect,Moderately helpful,Always,Slightly helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Grading system is strict as like offline exam
Neutral,Agree,Yes,No,Yes,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Always,Very helpful,Good decision but need to change few things,Poor,Good,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Neutral,No,Maybe,Maybe,Yes,Yes,Sometime it is difficult to connect,Very helpful,Not always,Very helpful,Good decision but need to change few things,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
Neutral,Neutral,No,Maybe,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Not a good decision,Average,Average,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Agree,Maybe,No,Maybe,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,Maybe,Yes,Yes,Easy to connect,Very helpful,Always,Moderately helpful,Good decision but need to change few things,Poor,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,No,No,Yes,No,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,Yes,Yes,Maybe,No,Yes,Sometime it is difficult to connect,Very helpful,Not always,Slightly helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Grading system is strict as like offline exam
Agree,Neutral,Maybe,No,Yes,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Moderately helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Disagree,Yes,Yes,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
Disagree,Neutral,Yes,No,Yes,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Poor,Unable to meet course requirements for further courses,Yes,Good internet connection allows to give tension free exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Disagree,Yes,Yes,Yes,Yes,Yes,Most of the time it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Disagree,Disagree,Maybe,No,Maybe,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Good,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Session jam,Students go through more mental stress during online exam
Neutral,Agree,Maybe,Maybe,Yes,Maybe,Yes,Most of the time it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Not a good decision,Poor,Poor,Failing to take graduation,No,Poor internet connection causes disruption,Poor internet connection,Session jam,Strict grading policy
Neutral,Agree,Yes,No,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Average,Average,Failing to take graduation,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Strict grading policy
Neutral,Agree,Maybe,No,Yes,Maybe,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Average,Failing to take graduation,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Neutral,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Always,Slightly helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Disagree,Maybe,No,Yes,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Disagree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not at all,Not at all helpful,Not a good decision,Average,Average,Failing to take graduation,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Disagree,Neutral,No,Yes,No,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,Maybe,Yes,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Slightly helpful,Not a good decision,Good,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Maybe,Yes,Yes,Maybe,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Slightly helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Agree,Yes,Maybe,Yes,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Moderately helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Agree,Disagree,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Neutral,Yes,Yes,No,Yes,Yes,It is difficult because of poor internet connection,Not at all,Not at all,Slightly helpful,Not a good decision,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Neutral,Neutral,Maybe,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Strict grading policy
Neutral,Agree,Maybe,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Slightly helpful,Not a good decision,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,No,Maybe,Yes,Maybe,Yes,Sometime it is difficult to connect,Moderately helpful,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Grading system is strict as like offline exam
Agree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Always,Not at all helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Session jam,Strict grading policy
Agree,Neutral,Maybe,Yes,No,No,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Good,Average,Not being able to learn properly from the desired course,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Grading system is strict as like offline exam
Disagree,Disagree,Maybe,Yes,No,Yes,Yes,Most of the time it is difficult to connect,Moderately helpful,Not always,Slightly helpful,Not a good decision,Average,Poor,Unable to meet course requirements for further courses,Yes,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Neutral,Maybe,Yes,No,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Moderately helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Strict grading policy
Neutral,Disagree,Maybe,No,Yes,Yes,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Good,Good,Unable to meet course requirements for further courses,No,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Neutral,Maybe,No,Yes,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Disagree,No,Yes,Yes,Maybe,Yes,It is difficult because of poor internet connection,Not at all,Not always,Moderately helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Neutral,Disagree,Yes,No,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Yes,No,Yes,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Not at all helpful,Not a good decision,Good,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Agree,Agree,No,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,Maybe,Yes,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Neutral,Yes,Yes,Yes,No,"Yes, but it doesn’t work well",Easy to connect,Very helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,No,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Disagree,Disagree,Yes,No,No,Yes,"Yes, but it doesn’t work well",Most of the time it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Strict grading policy
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,It is difficult because of poor internet connection,Slightly helpful,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Session jam,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,Yes,Yes,"No, I share with others",Sometime it is difficult to connect,Very helpful,Always,Moderately helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Yes,Yes,Yes,Yes,"No, I share with others",Easy to connect,Slightly helpful,Not always,Very helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
